CAMPAIGN_ID,CAMPAIGN_NAME,L1_BRAND_NAME,consumer_id,user_count,PREDICTED_GENDER,GENDER,GENDER_MODEL_MATCH,IS_EVER_DASHPASS,IS_CURRENT_DASHPASS,lifestage,GENERATION,AGE_BUCKET,INCOME_BUCKET,PRESENCE_OF_CHILDREN_IND,ETHNICITY,GENDER_fill_rate,GENERATION_fill_rate,AGE_BUCKET_fill_rate,INCOME_BUCKET_fill_rate,children_fill_rate,ETHNICITY_fill_rate
CMP_NESTLE_2025_Q1,Nestle Brand Awareness Q1,STOUFFER'S,9000001,1200,FEMALE,FEMALE,TRUE,TRUE,TRUE,retained,MILLENNIALS,30_34,100_149,TRUE,WHITE,0.95,0.92,0.90,0.88,0.84,0.80
CMP_NESTLE_2025_Q1,Nestle Brand Awareness Q1,LEAN CUISINE,9000002,980,FEMALE,FEMALE,TRUE,TRUE,FALSE,new_to_category,GENERATION_Z,25_29,50_74,FALSE,ASIAN,0.95,0.92,0.90,0.88,0.84,0.80
CMP_NESTLE_2025_Q1,Nestle Brand Awareness Q1,COFFEE MATE,9000003,860,MALE,MALE,TRUE,FALSE,FALSE,loyal,GENERATION_X,40_44,150_249,TRUE,HISPANIC,0.95,0.92,0.90,0.88,0.84,0.80
CMP_NESTLE_2025_Q1,Nestle Brand Awareness Q1,DIGIORNO,9000004,910,MALE,UNKNOWN,FALSE,TRUE,FALSE,at_risk,MILLENNIALS,35_39,75_99,TRUE,UNKNOWN,0.95,0.92,0.90,0.88,0.84,0.80
CMP_NESTLE_RET_2025,Nestle Retargeting,STOUFFER'S,9000005,740,FEMALE,FEMALE,TRUE,TRUE,TRUE,retained,MILLENNIALS,35_39,50_74,TRUE,BLACK,0.93,0.90,0.89,0.86,0.83,0.78
CMP_NESTLE_RET_2025,Nestle Retargeting,LEAN CUISINE,9000006,690,FEMALE,FEMALE,TRUE,TRUE,TRUE,retained,GENERATION_Z,21_24,LESS_20,FALSE,WHITE,0.93,0.90,0.89,0.86,0.83,0.78
CMP_NESTLE_RET_2025,Nestle Retargeting,COFFEE MATE,9000007,620,MALE,MALE,TRUE,TRUE,FALSE,loyal,GENERATION_X,45_49,100_149,FALSE,ASIAN,0.93,0.90,0.89,0.86,0.83,0.78
CMP_NESTLE_RET_2025,Nestle Retargeting,DIGIORNO,9000008,580,MALE,FEMALE,FALSE,FALSE,FALSE,at_risk,GENERATION_X,40_44,75_99,TRUE,HISPANIC,0.93,0.90,0.89,0.86,0.83,0.78
CMP_NESTLE_CTV_2025,Nestle CTV Household,NESTLE,9000009,1500,FEMALE,FEMALE,TRUE,TRUE,FALSE,retained,GENERATION_X,45_49,150_249,TRUE,WHITE,0.94,0.91,0.90,0.89,0.85,0.81
CMP_NESTLE_CTV_2025,Nestle CTV Household,COFFEE MATE,9000010,1180,FEMALE,FEMALE,TRUE,TRUE,TRUE,loyal,BABY_BOOMERS,60_64,100_149,FALSE,WHITE,0.94,0.91,0.90,0.89,0.85,0.81
CMP_NESTLE_CTV_2025,Nestle CTV Household,DIGIORNO,9000011,970,MALE,MALE,TRUE,TRUE,FALSE,new_to_category,MILLENNIALS,30_34,75_99,TRUE,HISPANIC,0.94,0.91,0.90,0.89,0.85,0.81
CMP_NESTLE_CTV_2025,Nestle CTV Household,PURINA,9000012,890,FEMALE,UNKNOWN,FALSE,FALSE,FALSE,at_risk,GENERATION_X,50_54,50_74,TRUE,UNKNOWN,0.94,0.91,0.90,0.89,0.85,0.81
CMP_NESTLE_DSP_2024,Nestle DSP Prospecting,NESTLE,9000013,1320,MALE,MALE,TRUE,FALSE,FALSE,new_to_category,GENERATION_Z,21_24,20_49,FALSE,WHITE,0.91,0.89,0.87,0.84,0.79,0.74
CMP_NESTLE_DSP_2024,Nestle DSP Prospecting,COFFEE MATE,9000014,1110,FEMALE,FEMALE,TRUE,TRUE,FALSE,new_to_category,MILLENNIALS,25_29,50_74,FALSE,ASIAN,0.91,0.89,0.87,0.84,0.79,0.74
CMP_NESTLE_DSP_2024,Nestle DSP Prospecting,STOUFFER'S,9000015,930,FEMALE,MALE,FALSE,FALSE,FALSE,at_risk,GENERATION_X,40_44,75_99,TRUE,BLACK,0.91,0.89,0.87,0.84,0.79,0.74
CMP_NESTLE_DSP_2024,Nestle DSP Prospecting,PURINA,9000016,870,MALE,UNKNOWN,FALSE,FALSE,FALSE,new_to_category,MILLENNIALS,35_39,50_74,TRUE,UNKNOWN,0.91,0.89,0.87,0.84,0.79,0.74
CMP_NESTLE_SEASONAL_2025,Nestle Summer Refresh,COFFEE MATE,9000017,840,FEMALE,FEMALE,TRUE,TRUE,TRUE,retained,MILLENNIALS,30_34,100_149,FALSE,HISPANIC,0.92,0.90,0.88,0.85,0.81,0.76
CMP_NESTLE_SEASONAL_2025,Nestle Summer Refresh,LEAN CUISINE,9000018,760,FEMALE,FEMALE,TRUE,TRUE,FALSE,loyal,MILLENNIALS,35_39,75_99,TRUE,WHITE,0.92,0.90,0.88,0.85,0.81,0.76
CMP_NESTLE_SEASONAL_2025,Nestle Summer Refresh,DIGIORNO,9000019,720,MALE,MALE,TRUE,FALSE,FALSE,new_to_category,GENERATION_Z,25_29,20_49,FALSE,ASIAN,0.92,0.90,0.88,0.85,0.81,0.76
CMP_NESTLE_SEASONAL_2025,Nestle Summer Refresh,PURINA,9000020,690,MALE,UNKNOWN,FALSE,TRUE,FALSE,at_risk,GENERATION_X,45_49,100_149,TRUE,UNKNOWN,0.92,0.90,0.88,0.85,0.81,0.76
CMP_NESTLE_PET_2025,Purina Household Growth,PURINA,9000021,1260,FEMALE,FEMALE,TRUE,TRUE,TRUE,retained,GENERATION_X,45_49,100_149,TRUE,WHITE,0.96,0.93,0.92,0.90,0.87,0.83
CMP_NESTLE_PET_2025,Purina Household Growth,PURINA,9000022,980,MALE,MALE,TRUE,TRUE,FALSE,loyal,BABY_BOOMERS,55_59,150_249,FALSE,WHITE,0.96,0.93,0.92,0.90,0.87,0.83
CMP_NESTLE_PET_2025,Purina Household Growth,PURINA,9000023,910,FEMALE,UNKNOWN,FALSE,FALSE,FALSE,new_to_category,MILLENNIALS,30_34,75_99,TRUE,HISPANIC,0.96,0.93,0.92,0.90,0.87,0.83
CMP_NESTLE_PET_2025,Purina Household Growth,PURINA,9000024,870,MALE,MALE,TRUE,TRUE,TRUE,retained,GENERATION_X,50_54,250_499,TRUE,BLACK,0.96,0.93,0.92,0.90,0.87,0.83
